id	text	likes
55022	"Так, друзья! Я решила присоединиться к платформе VK DONUT для того, чтобы чуть усовершенствовать нашу группу М. !) Сделать ее полезнее и еще интереснее! 😌

Идея вот в чем, если в двух словах -
это что-то типа платформы, с ежемесячной подпиской на эксклюзивные посты, которые видны только донатам.

Формат удобный, мне понравилось,  буду публиковать посты в особом стиле, с иллюстрациями, видюхами, музыкой, хештегами для быстрого поиска, рубриками, а публикации эти увидят только те, кто подписался  :) 

Выкладывать я планирую разную, полезную информацию, биографии писателей и поэтов, интересные статейки, всякие факты из истории и литературы, ваши стихи, заведём с вами разные  рубрики, может быть конкурсы будем устраивать, или книжки  обсуждать, так как комментарии будут открыты и мы сможем общаться  🙏

А самое-то главное вот что! Донаты первыми узнают о начале продажи книги М., о выходе второго тома и смогут забронировать книгу раньше остальных 😏 Ну и конечно, не обойдётся без скидок на нашу книгу М. 🙏

Минимальная цена за вход пока что от 50 р, чисто символически, за мои труды и поиски интересного и полезного  для вас контента, так сказать 😏😁❤️ 

В общем, будет интересно, будет красиво, будет прям тут на стенке в нашей группе, но в отдельной вкладке только для донатов, присоединяйтесь 🤗"	27
55229	"…если запрещается откровенно высказывать свое мнение, то зачем же тогда и спрашивать?

Джером К. Джером ""Трое в лодке, не считая собаки"""	168
55228	"Меня больше ничего так не бесит, когда я вижу людей, которые сидят и ничего не делают, когда что-то делаю я. 
 
Джером Джером. 
Трое в лодке, не считая собаки"	118
55227	"Пока вы не научитесь управлять веслами, бесполезно менять лодку.

Шри Шри Рави Шанкар"	247
55224	"Завтра будет лучше, чем вчера. 

Наша кредитка с лимитом до 700 000 ₽ и льготным периодом до 120 дней поможет сбыться вашим самым смелым планам.

Оставляйте заявку — доставим уже завтра: https://vk.tinkoff.ru/tp-image"	6
55223	"Она сама была в тягость себе. 
Ей хотелось бежать куда глаза глядят от себя самой.

Борис Пастернак."	771
55222	"Обычно о таких лицах люди говорят «каменные», предполагая, что камень этот сбивался из песчинок, из сотенок обид, уроков и ссадин.

П.Клюкина « Дерись или беги. Туфли »"	158
55221	"Его вдруг осенило, что значит чистота. Это когда тебя не касается ничто, кроме того, что составляет с тобой одно целое.

Джон Апдайк. ""Кролик, беги"""	312
55220	"Человек навсегда прикован к прошлому: как бы далеко и быстро он ни бежал — цепь бежит вместе с ним.

Фридрих Ницше"	222
55216	"Когда мы с Мэгги поженились 60 лет назад, у нас не было денег. На нашем банковском счету было 8 долларов. Первые два года у нас даже не было телефона. Мы снимали крошечную квартирку в Венисе, по соседству с бензозаправкой. Там на стене и висел мой первый телефон. Я выбегал к нему, брал трубку, а люди думали, что звонят мне домой. Не было даже телефона, что уж говорить о машине. 
Но знаете, что у нас было? Любовь. 

Рэй Брэдбери"	1131
55215	"Когда я говорю с вами, даже сейчас, я все время говорю не в точности то, что думаю, а то, что может вас заинтересовать и вызвать отклик… К этому так привыкаешь, что уже перестаешь замечать. Да что там, язык вообще машина для изготовления фальши.

Айрис Мёрдок “Под сетью”"	239
55214	"История этой планеты — это история идиотизма, подчеркнутого несколькими дебилами, которые выделились на общем фоне как гении.

Уильям Берроуз. ""Счетная машина"""	157
55213	"Никакая ощутимая, реальная прелесть не может сравниться с тем, что способен накопить человек в глубинах своей фантазии.

Фрэнсис Скотт Фицджеральд ""Великий Гэтсби"""	497
55212	"Мне кажется, что в одной улыбке состоит то, что называют красотою лица: если улыбка прибавляет прелести лицу, то лицо прекрасно; если она не изменяет его, то оно обыкновенно; если она портит его, то оно дурно.

Л.Н. Толстой"	187
55211	"Она могла довести своими выходками до бешенства, но в этом и была её своеобразная прелесть. 
 
Маргарет Митчелл ""Унесенные ветром"""	370
55210	"Ведь вся прелесть прошлого в том, что оно - прошлое. А женщины никогда не замечают, что занавес опустился. Им непременно подавай шестой акт! Они желают продолжать спектакль, когда всякий интерес к нему уже пропал.

О.Уайльд ""Портрет Дориана Грея"""	360
55209	"Сегодня снился сон: ты в нём был красивый.
Ты был в пиджаке, с ""бабочкой"". А я стояла рядом и наблюдала, как ты женишься на другой, как ты любишь её.
И будто я больше не проснулась. Будто чувствовала боль, но не могла о ней никому сказать.

Малена Край. ""Последнее короткое письмо"""	390
55208	"— ты оставил меня в покое, только я покоя не почувствовала.

Малена Край. Последнее короткое письмо"	587
55207	"- ..я смотрела Вам в след, когда Вы от меня уходили и думала: ""Слава Богу, что Вы от меня наконец-то уходите"" и ""Вернитесь, я без Вас умру"".

Малена Край. ""Последнее короткое письмо"""	420
55206	"Сколько измучено дней. Нам следовало расстаться раньше.
Сегодня холодный зимний день и я вспомнила, совершенно случайно, твоё тепло. Твой запах. Твои руки.. 
Нет, точно не люблю.

Малена Край. Последнее короткое письмо"	356
55205	"Жизнь слишком коротка, чтобы тратить ее на диеты, жадных мужчин и плохое настроение. 
 
Фаина Раневская"	775
55204	"-.. я вообще не хотела звонить тебе. 
- зачем позвонила? 
- чтобы сказать, что я не хотела тебе звонить! 
 
Малена Край. Последнее короткое письмо"	451
55203	"Я так давно бегу, что не помню уже от чего. 
 
Фредерик Бегбедер"	525
55201	"Скажи мне милая,зачем ты от меня ушла
В туманные неведомые дали,
Я так хотел тебя в последний раз обнять
Но вот остался с распростертыми руками."	244
55200	"Мужчины до того тщеславны, что жаждут, чтобы даже в Интернете с ними знакомились только красивые женщины. И неважно, что в данном случае красота не играет никакой роли.

Вишневский, Януш. «Одиночество в Сети.»"	292
55199	"Сил человеческих хватает до известного предела; кто виноват, что именно этот предел играет решающую роль?

Ф.Кафка. Замок"	173
55198	"Играя роль выдержанного человека, сам становишься спокойнее.

Роберт Хайнлайн."	570
55197	"﻿И я бы охотно простила ему его гордость, если бы он не ранил мою.

Д. Остен ""Гордость и предубеждение"""	903
55196	"Ещё одна причина: он ранит, словно нож. 
Зачем тебе мужчина, с которым ты ревешь?

Лина Ткалик ""Вот первая причина.."""	726
55194	"Сколько бы мы это ни отрицали, но в глубине души мы знаем: все, что с нами случилось, мы заслужили. 
 
У.С.Моэм., ""Рождественские каникулы"""	934
55193	На дне каждой души есть осадок, и не дай Бог тебе его взболтать (с)	808
55192	"Я, слава богу, свободен. Ах, до чего же я свободен. Моя душа — великолепная пустота.

Жан-Поль Сартр. Мухи"	305
55189	"Мне дано все, чтобы жить возвышенной жизнью. А я гибну в лени, разврате и мечтании. 
 
Даниил Хармс"	584
55188	"Никогда. Страшное слово. Самое страшное из всех слов человеческой речи. Никогда. Слово это сравнимо только со словом «смерть». Смерть – одно большое «никогда».

Рубен Давид Гонсалес Гальего «Белое на черном»"	266
55187	"Просить помощи у других - самая страшная и неприятная вещь в жизни.

Рубен Давид Гонсалес Гальего  «Белое на черном»"	237
55185	"У меня рука затекла, по ней бегали мурашки, но я ни за что на свете не пошевелился бы, потому что боялся ее разбудить. 

Марк Леви ""Первый день"""	612
55184	"Долго не стой на одном месте — чего в нём? Вон как день и ночь бегают, гоняясь друг за другом, вокруг земли, так и ты бегай от дум про жизнь, чтоб не разлюбить её. А задумаешься — разлюбишь жизнь, это всегда так бывает.

Максим Горький"	643
55183	"Я задернул шторы.
Спустился вниз. Снова улегся на спину и уставился в потолок. Вряд ли до утра удастся уснуть. А значит, обойдется без боли расставания. Мои расставания закончились семь лет назад. Вместе с болью. Неспящие снов не видят.

Иори Фудзивара ""Праздник подсолнухов""."	281
55178	"Я хотела тебя ненавидеть, и не знать, как твои дела.
Я боялась тебя увидеть, я боялась, но так ждала.

Эрик-Эмманюэль Шмитт"	836
55177	"Я боялась потерять себя, привязавшись к кому-то. Так и случилось.

Марк Леви ""Где ты?"""	527
55176	"Мир настолько сгнил, что даже влюбиться в кого-то - это самый большой риск, который мы можем себе позволить. Нас сжимает изнутри от вероятности, что это окажется не взаимно или агрессивно воспринято. Люди разучились любить, миром правят потребительские отношения.

Бернард Шоу"	1187
55175	"Если человек не готов взять на себя некоторый риск за свои взгляды, либо его взгляды никуда не годятся, либо он сам никуда не годится.

Эзра Паунд"	447
55172	"Когда я был мальчишкой, я знал множество людей, к которым мог пойти в гости без предупреждения, понимая, что мне всегда будут рады. Теперь все приятели выросли. И единственным человеком, к которому я мог заявиться без приглашения, оставалась моя мама.

 Тони Парсонс
«Муж и жена»"	1852
55171	"И когда ты утешишься (в конце концов всегда утешаешься), ты будешь рад, что знал меня когда-то.

Антуан де Сент Экзюпери
«Маленький принц»"	1069
55170	"- Что вы думаете о женщинах?
- Я не мыслитель. Все женщины разные. В основном они кажутся сочетанием лучшего и худшего - и волшебного, и ужасного. Я, впрочем, рад, что они существуют. 

Чарльз Буковски"	329
55168	"Детей обманывают конфетами, взрослых — клятвами.

Фрэнсис Бэкон"	1908
55167	"В мире, где клятвы не стоят вообще ничего. Где обязательства – пустой звук. Где обещания даются лишь для того, чтобы нарушать, было бы славно устроить так, чтобы слова обрели былое значение и мощь.

Чак Паланик ""Колыбельная"""	246
55166	"Прошу, не надо давать клятв, которые не сможешь сдержать. Это окончательно обесценит то, что когда-то было добрым и светлым. 

Ф. К. Каст «Богиня легенды»"	480
55160	"Если не хочешь остаться ребенком навеки, нельзя ждать подсказок от других. Ты должен найти решение в себе самом — почувствовать, что будет правильно. Научись доверять себе.

Дэниел Киз ""Цветы для Элджернона"""	1235
55159	"Неосторожное слово — и ребёнок взрослеет, обманутая любовь — и человек ожесточается.

Андре Моруа «Три Дюйма»"	865
55158	"Я жил со многими людьми, во многих местах. Я был удивлен — почему все люди так тревожатся о том, чтобы создавать проблемы другим? Если кто-то не женат, они беспокоятся: ""Почему ты не женишься?"" — как будто брак — это какой-то вселенский закон, которому нужно следовать. Измученный всеми и каждым, человек начинает думать, что ему лучше жениться — по крайней мере все эти люди перестанут его мучить. Но это ошибка: как только ты женишься, они начинают спрашивать: ""Когда будет ребенок?

Ошо"	874
55157	"Сначала увидал в кино, или рассказывал кто-то, 
Потом я сам наступил, в уже знакомое болото, 
Хотел обратно вылезть, но вдруг дыхание сперло, 
Я думал зашел по колено, но было уже по горло"	612
55156	"Я ""не позволял своей любви высказываться вслух""; однако, если бы взгляды умели говорить,  и круглый дурак бы догадался бы, что я по уши влюблен. 

Эмили Бронте ""Грозовой перевал"""	1006
55154	"Перенесемся к правде. Я круглая дурочка.

Чак Паланик ""Невидимки"""	331
55147	"Она медленно убрала свою руку. Это был мягкий, естественный жест, но я ощутил разрыв контакта между нами так остро, как будто меня грубо выдернули из глубокого счастливого сна.

Грегори Дэвид Робертс ""Шантарам"""	1913
55146	"Главное, самому себе не лгите. Лгущий самому себе и собственною ложь свою слушающий до того доходит, что уж никакой правды ни в себе, ни кругом не различает, а стало быть, входит в неуважение и к себе, и к другим. 

Федор Михайлович Достоевский. Братья Карамазовы"	795
55145	"…увереннее всего чувствует себя в мире, среди людей, тот, кто предпочитает тихо и одиноко заниматься своим делом и ограничивает себя узким кругом друзей.

Винсент ван Гог. ""Письма к брату Тео""."	1189
55144	"Мужчина ревнует, когда любит; женщина — даже когда не любит, потому что поклонники, завоеванные другими женщинами, исчезают из круга ее поклонников. 

Иммануил Кант"	639
55142	"...и, быть может, для того, чтобы оправдать эту свою робость, свое отвращение к настоящему, он всегда хвалил прошлое и то, чего никогда не было.

Антон Чехов. ""Человек в футляре"""	293
55141	"Ум служит нам порою лишь для того, чтобы смело делать глупости.

Франсуа де Ларошфуко"	400
55140	"Иногда для того, чтобы хорошо видеть, необходимо именно отойти, а не приблизиться.

Максим Горький"	2245
55139	"Я застегиваюсь на все молнии внутри самого себя.

Джонатан Сафран Фоер, ""Жутко громко и запредельно близко"""	561
